iter	RMSE
0	1706.849532
1	1513.419288
2	1366.119507
3	1252.981929
4	1168.29775
5	1089.283585
6	1018.520749
7	971.1217754
8	926.2264909
9	888.6789801
10	858.4232186
11	834.0268086
12	815.8863174
13	794.3653723
14	777.0221731
15	767.4180556
16	753.8025869
17	742.3867348
18	730.1675004
19	721.9931531
20	712.3961466
21	703.7322209
22	694.4712969
23	688.415363
24	679.9817747
25	673.2694505
26	667.2065082
27	660.3493706
28	655.4477835
29	649.5205453
30	643.731466
31	638.7027011
32	631.5720992
33	628.1557474
34	624.3956522
35	621.5266448
36	617.0351123
37	614.1667023
38	611.9853228
39	607.8032545
40	602.6703593
41	599.7641921
42	595.8083787
43	592.7301323
44	590.7126421
45	587.4229451
46	585.1401887
47	582.8834564
48	579.9211742
49	577.312554
50	575.29549
51	573.6270709
52	571.801468
53	569.4733323
54	567.9855495
55	565.8097949
56	564.0765429
57	562.9184234
58	560.5200312
59	559.3199392
60	557.4602706
61	556.02454
62	554.5413188
63	553.4123893
64	552.5005737
65	550.8262449
66	549.6720474
67	548.3148301
68	546.2761754
69	545.110613
70	544.0083429
71	540.8783002
72	540.0892222
73	539.2705098
74	538.263639
75	537.5919166
76	536.0382083
77	533.9276004
78	532.3587762
79	530.9861824
80	530.4053177
81	529.7625813
82	529.2570289
83	528.2892064
