iter	Passed	Remaining
0	0	31
1	0	34
2	1	34
3	1	34
4	2	34
5	2	33
6	3	33
7	3	34
8	3	33
9	4	32
10	5	33
11	5	33
12	6	34
13	6	34
14	7	35
15	8	34
16	8	35
17	10	39
18	11	39
19	12	38
20	12	37
21	13	36
22	13	35
23	13	34
24	14	33
25	14	33
26	15	32
27	15	31
28	16	30
29	16	30
30	17	29
31	17	28
32	18	28
33	18	27
34	19	26
35	19	26
36	20	25
37	20	24
38	20	24
39	22	24
40	22	23
41	23	23
42	23	22
43	23	21
44	24	21
45	24	20
46	25	19
47	25	19
48	26	18
49	26	17
50	26	17
51	27	16
52	28	16
53	28	15
54	29	15
55	30	15
56	31	14
57	31	14
58	32	13
59	34	13
60	34	13
61	35	12
62	36	12
63	37	11
64	38	11
65	39	10
66	39	10
67	40	9
68	41	8
69	41	8
70	44	8
71	46	7
72	47	7
73	47	6
74	48	5
75	50	5
76	51	4
77	51	3
78	52	3
79	53	2
80	53	1
81	54	1
82	55	0
83	56	0
